accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
2015132BQ1756,2015,423083,427779,-1.651471018791199,53.74588012695313,1,E08000034,Kirklees,Motorway,Motorway,Serious,heavy goods
2005160B05550,2005,473590,408920,-.8901789784431458,53.57172393798828,2,E06000013,North Lincolnshire,Motorway,Motorway,Serious,car/taxi
2007440303113,2007,459380,107080,-1.157688975334167,50.86012649536133,2,E07000087,Fareham,Motorway,Motorway,Serious,car/taxi
2017430206236,2017,492996,189637,-.658755,51.597913,2,E07000006,South Bucks,Motorway,Motorway,Serious,motorcycle
201342I253408,2013,557565,180392,.2686989903450012,51.50045013427734,2,E06000034,Thurrock,Motorway,Motorway,Serious,car/taxi
201634WS80026,2016,447530,240535,-1.306643962860107,52.06073379516602,2,E07000155,South Northamptonshire,Motorway,Motorway,Fatal,car/taxi
201101YE80281,2011,534310,199990,-.0586259998381138,51.68256759643555,2,E09000010,Enfield,Motorway,Motorway,Serious,car/taxi
201443N161064,2014,501539,185867,-.5365539789199829,51.5625,2,E07000006,South Bucks,Motorway,Motorway,Serious,motorcycle
20063104P0177,2006,450180,349400,-1.253051996231079,53.03950881958008,2,E07000172,Broxtowe,Motorway,Motorway,Serious,car/taxi
201523M420967,2015,410845,272457,-1.842208981513977,52.35007858276367,2,E07000221,Stratford-on-Avon,Motorway,Motorway,Serious,car/taxi
2006460129330,2006,576560,158020,.5309730172157288,51.29387283325195,2,E07000110,Maidstone,Motorway,Motorway,Serious,motorcycle
200504C007305,2005,372820,432700,-2.414055109024048,53.78989791870117,1,E07000127,West Lancashire,Motorway,Motorway,Serious,car/taxi
201043N285100,2010,501480,185750,-.5374379754066467,51.56145858764648,2,E07000006,South Bucks,Motorway,Motorway,Serious,car/taxi
200801YE69793,2008,529570,200530,-.1269499957561493,51.68853378295898,2,E09000010,Enfield,Motorway,Motorway,Serious,car/taxi
200506X024860,2005,391760,392350,-2.12548303604126,53.42786407470703,2,E08000007,Stockport,Motorway,Motorway,Serious,car/taxi
2015331501179,2015,452239,299396,-1.230332016944885,52.58986282348633,2,E07000129,Blaby,Motorway,Motorway,Serious,motorcycle
2012230135612,2012,434000,257870,-1.503751039505005,52.21796035766602,2,E07000221,Stratford-on-Avon,Motorway,Motorway,Serious,car/taxi
20164100T3052,2016,521610,201406,-.2401580065488815,51.69774627685547,2,E07000098,Hertsmere,Motorway,Motorway,Fatal,car/taxi
200643R206076,2006,494750,179590,-.6361520290374756,51.50725555419922,2,E06000039,Slough,Motorway,Motorway,Serious,car/taxi
201543P299055,2015,469370,200960,-.997564971446991,51.70310211181641,2,E07000179,South Oxfordshire,Motorway,Motorway,Serious,light goods
200714A139207,2007,464620,404750,-1.026473999023438,53.53542709350586,2,E08000017,Doncaster,Motorway,Motorway,Serious,car/taxi
200706X084130,2007,382140,408960,-2.271213054656982,53.57692337036133,2,E08000002,Bury,Motorway,Motorway,Serious,car/taxi
2017420158148,2017,550298,242010,.190741,52.056104,2,E07000077,Uttlesford,Motorway,Motorway,Serious,heavy goods
201514A055815,2015,458189,399364,-1.124505043029785,53.4877815246582,2,E08000017,Doncaster,Motorway,Motorway,Serious,car/taxi
2016200109395,2016,399978,289600,-2.000324010848999,52.50393295288086,1,E08000028,Sandwell,Motorway,Motorway,Serious,car/taxi
2014331400165,2014,448055,310600,-1.290456056594849,52.69093322753906,2,E07000132,Hinckley and Bosworth,Motorway,Motorway,Serious,car/taxi
2010520006180,2010,331610,139380,-2.979183912277222,51.14952087402344,2,E07000188,Sedgemoor,Motorway,Motorway,Serious,car/taxi
201245TA69409,2012,530900,146810,-.127577006816864,51.20544815063477,2,E07000215,Tandridge,Motorway,Motorway,Serious,motorcycle
200650D41Q599,2006,304560,113760,-3.359069108963013,50.91532516479492,2,E07000042,Mid Devon,Motorway,Motorway,Serious,car/taxi
200720Z027301,2007,407810,291960,-1.886325001716614,52.52543258666992,1,E08000025,Birmingham,Motorway,Motorway,Serious,car/taxi
2010070166435,2010,364090,391160,-2.541764974594116,53.4160041809082,2,E06000007,Warrington,Motorway,Motorway,Fatal,motorcycle
201404ED14093,2014,371679,428514,-2.430989027023315,53.75221252441406,2,E07000120,Hyndburn,Motorway,Motorway,Serious,car/taxi
2010210002345,2010,377990,349400,-2.329736948013306,53.04139709472656,2,E07000195,Newcastle-under-Lyme,Motorway,Motorway,Serious,heavy goods
200601TC00309,2006,558350,185090,.2821080088615417,51.54244232177734,2,E09000016,Havering,Motorway,Motorway,Serious,car/taxi
200520Z009601,2005,401430,295750,-1.980347990989685,52.55955505371094,1,E08000030,Walsall,Motorway,Motorway,Serious,car/taxi
2013460229936,2013,549720,156990,.1458950042724609,51.29230499267578,2,E07000111,Sevenoaks,Motorway,Motorway,Serious,car/taxi
2007440062087,2007,459320,107080,-1.158540964126587,50.86013031005859,2,E07000087,Fareham,Motorway,Motorway,Fatal,car/taxi
2006440414948,2006,459510,147210,-1.149258971214294,51.2209358215332,2,E07000084,Basingstoke and Deane,Motorway,Motorway,Fatal,pedestrian
200805DD27756,2008,350490,389880,-2.746170043945313,53.40339660644531,2,E08000013,St. Helens,Motorway,Motorway,Serious,car/taxi
2010331005970,2010,446850,330140,-1.305492043495178,52.8666877746582,2,E07000134,North West Leicestershire,Motorway,Motorway,Fatal,motorcycle
2012440221780,2012,442588,118143,-1.394973039627075,50.96108245849609,2,E07000093,Test Valley,Motorway,Motorway,Serious,car/taxi
2012440273942,2012,473330,153225,-.9501680135726929,51.27340698242188,2,E07000089,Hart,Motorway,Motorway,Serious,car/taxi
2012471200467,2012,530210,138940,-.140296995639801,51.1348762512207,2,E07000226,Crawley,Motorway,Motorway,Serious,motorcycle
2017430254240,2017,485814,243573,-.7490520000000001,52.08388,1,E06000042,Milton Keynes,Motorway,Motorway,Serious,bus
2010030001726,2010,356780,517080,-2.669651031494141,54.5471305847168,2,E07000030,Eden,Motorway,Motorway,Serious,car/taxi
200606X060140,2006,384570,407790,-2.234455108642578,53.56648254394531,2,E08000005,Rochdale,Motorway,Motorway,Serious,car/taxi
2005460105144,2005,572960,158360,.4795550107955933,51.29803466796875,2,E07000115,Tonbridge and Malling,Motorway,Motorway,Fatal,car/taxi
2010210007478,2010,388960,304910,-2.164602041244507,52.64179229736328,2,E07000196,South Staffordshire,Motorway,Motorway,Fatal,pedestrian
2017450248388,2017,502216,172684,-.5306,51.443934,2,E07000213,Spelthorne,Motorway,Motorway,Serious,car/taxi
2012236595912,2012,449883,279536,-1.268072962760925,52.41152572631836,2,E07000220,Rugby,Motorway,Motorway,Serious,light goods
200504TA05064,2005,354960,433790,-2.685297966003418,53.7984504699707,2,E07000123,Preston,Motorway,Motorway,Serious,car/taxi
2007131099807,2007,424670,427570,-1.627419948577881,53.74392318725586,2,E08000035,Leeds,Motorway,Motorway,Serious,car/taxi
2005460109023,2005,593500,159000,.7741789817810059,51.29717636108398,2,E07000113,Swale,Motorway,Motorway,Fatal,car/taxi
201634WD15776,2016,460042,267882,-1.119297981262207,52.30538177490234,2,E07000151,Daventry,Motorway,Motorway,Serious,car/taxi
200640D018290,2006,507490,220220,-.4401449859142303,51.87016296386719,2,E06000056,Central Bedfordshire,Motorway,Motorway,Serious,motorcycle
